"";"DIVIZ06";"DIVID09";"DIVIZ11"
"2021q1";90,0;84,0;59,4
"2021q2";96,1;102,3;81,7
"2021q3";122,8;85,4;104,7
"2021q4";21,6;150,2;99,6
"2021q5";73,6;78,2;97,8
"2021q6";17,9;68,2;116,3
"2021q7";182,7;96,7;127,5
"2021q8";137,0;100,6;87,1
"2021q9";83,1;88,9;109,0
"2021q10";116,7;81,8;102,9
"2021q11";82,4;129,0;116,3
"2021q12";175,9;134,7;97,6
"2022q1";56,6;196,1;73,4
"2022q2";81,3;85,0;94,3
"2022q3";134,6;94,6;116,1
"2022q4";105,4;117,2;98,4
"2022q5";104,3;112,1;133,2
"2022q6";6,2;118,2;120,7
"2022q7";153,8;167,7;126,4
"2022q8";67,4;144,7;108,3
"2022q9";124,1;224,0;122,7
"2022q10";88,6;170,7;108,1
"2022q11";20,6;197,5;123,3
"2022q12";108,4;195,8;109,1
"2023q1";26,7;316,9;87,8
"2023q2";26,3;166,8;104,2
"2023q3";60,3;170,8;123,6
"2023q4";21,9;178,0;115,2
"2023q5";15,0;199,6;132,7
"2023q6";6,4;208,0;150,9
"2023q7";71,0;172,0;138,3
"2023q8";12,6;194,6;108,3
"2023q9";70,4;202,6;122,7
"2023q10";25,8;192,4;128,4
"2023q11";17,8;259,8;131,7
"2023q12";11,4;186,3;111,9
"2024q1";34,2;254,4;91,6
"2024q2";21,7;222,8;113,1
"2024q3";25,1;288,9;124,0
"2024q4";21,3;227,9;124,5
"2024q5";15,9;332,0;141,8
"2024q6";8,7;280,2;140,6
"2024q7";23,8;242,6;144,5
"2024q8";24,8;281,8;104,0
"2024q9";10,9;334,2;118,0
"2024q10";18,7;239,1;130,2
"2024q11";21,9;326,0;131,8
"2024q12";25,6;290,5;116,6
"2025q1";42,2;232,3;99,6
